G.U.N.T. Geraetebau GmbH
ET850

1/24/2018

Time	T1 (°C)	T2 (°C)	T3 (°C)	T4 (°C)	T5 (°C)	T6 (°C)	F1 (l/h)	F2 (l/h)	F3 (l/min)	p1 (bar)	p2 (bar)	P (W)
1/24/2018 3:59:45 PM.38	59	14	27	39	135	135	8.06	222	5.4	2.95	0.516	0
1/24/2018 3:59:44 PM.88	59	14	27	40	135	135	8.12	223	5.4	2.95	0.518	0
1/24/2018 3:59:44 PM.39	59	14	27	39	134	135	8.16	221	5.3	2.95	0.516	0
1/24/2018 3:59:43 PM.88	59	14	27	40	134	135	7.98	223	5.4	2.95	0.517	0
1/24/2018 3:59:43 PM.39	59	14	27	40	135	135	8.19	225	5.3	2.95	0.519	0
1/24/2018 3:59:42 PM.89	59	13	27	40	135	135	8.31	226	5.4	2.95	0.517	0
1/24/2018 3:59:42 PM.39	59	14	27	40	135	135	8.20	224	5.3	2.95	0.519	0
1/24/2018 3:59:41 PM.88	59	13	27	40	135	135	8.20	223	5.4	2.95	0.517	0
1/24/2018 3:59:41 PM.38	59	14	27	40	135	135	8.10	228	5.3	2.96	0.516	0
1/24/2018 3:59:40 PM.89	59	13	27	40	135	135	8.23	225	5.4	2.96	0.516	0
1/24/2018 3:59:40 PM.39	59	14	27	40	135	135	8.19	226	5.4	2.96	0.516	0
1/24/2018 3:59:39 PM.89	59	14	27	40	135	135	8.20	225	5.4	2.96	0.517	1
1/24/2018 3:59:39 PM.39	59	14	27	39	135	135	8.16	229	5.4	2.97	0.515	0
1/24/2018 3:59:38 PM.88	59	14	27	40	135	135	8.14	230	5.4	2.97	0.518	0
1/24/2018 3:59:38 PM.38	59	13	27	39	135	135	8.20	230	5.4	2.97	0.520	0
1/24/2018 3:59:37 PM.89	59	14	26	40	135	135	8.29	229	5.4	2.97	0.520	0
1/24/2018 3:59:37 PM.39	59	14	27	40	135	135	8.32	230	5.4	2.98	0.516	0
1/24/2018 3:59:36 PM.88	59	14	26	40	135	135	8.20	231	5.4	2.98	0.516	0
1/24/2018 3:59:36 PM.39	59	14	27	40	135	135	8.16	236	5.4	2.98	0.519	1
1/24/2018 3:59:35 PM.88	59	14	27	39	135	135	8.20	234	5.4	2.97	0.518	0
1/24/2018 3:59:35 PM.39	59	14	27	40	135	135	8.17	236	5.4	2.98	0.521	0
1/24/2018 3:59:34 PM.89	59	14	27	39	135	135	8.17	236	5.4	2.98	0.520	0
1/24/2018 3:59:34 PM.39	59	14	26	40	135	135	8.16	233	5.4	2.97	0.520	0
1/24/2018 3:59:33 PM.88	59	14	27	40	135	135	8.07	234	5.4	2.98	0.520	0
1/24/2018 3:59:33 PM.38	59	14	27	40	134	135	8.13	234	5.4	2.96	0.520	0
1/24/2018 3:59:32 PM.89	58	14	27	39	135	135	8.14	231	5.4	2.95	0.520	0
1/24/2018 3:59:32 PM.39	59	13	27	40	135	135	8.16	231	5.3	2.95	0.521	0
1/24/2018 3:59:31 PM.88	58	13	27	40	135	135	8.14	231	5.4	2.95	0.522	0
1/24/2018 3:59:31 PM.39	58	14	27	39	135	135	8.07	226	5.4	2.95	0.520	0
1/24/2018 3:59:30 PM.88	59	14	27	40	135	135	8.20	231	5.4	2.95	0.520	0
1/24/2018 3:59:30 PM.39	58	14	27	40	135	135	8.17	233	5.4	2.95	0.517	0
1/24/2018 3:59:29 PM.89	59	14	26	39	135	135	8.09	234	5.4	2.95	0.519	0
1/24/2018 3:59:29 PM.39	59	14	26	40	135	135	8.17	236	5.4	2.94	0.517	0
1/24/2018 3:59:28 PM.88	59	14	26	39	135	135	8.16	237	5.4	2.94	0.518	0
1/24/2018 3:59:28 PM.38	59	14	26	40	135	135	8.12	236	5.4	2.95	0.518	0
1/24/2018 3:59:27 PM.88	59	14	26	40	135	135	8.20	238	5.4	2.95	0.516	0
1/24/2018 3:59:27 PM.38	59	14	26	40	135	135	8.12	242	5.3	2.95	0.517	0
1/24/2018 3:59:26 PM.88	59	14	27	39	135	135	8.16	244	5.4	2.95	0.516	0
1/24/2018 3:59:26 PM.38	59	14	26	39	134	135	8.23	243	5.4	2.96	0.517	1
1/24/2018 3:59:25 PM.88	59	14	26	39	135	135	8.17	246	5.4	2.96	0.517	0
1/24/2018 3:59:25 PM.38	59	13	26	39	135	135	8.17	245	5.4	2.96	0.516	0
1/24/2018 3:59:24 PM.88	59	14	26	40	135	135	8.17	248	5.4	2.95	0.516	0
1/24/2018 3:59:24 PM.38	59	14	26	39	135	135	8.22	248	5.4	2.96	0.518	0
1/24/2018 3:59:23 PM.89	59	13	26	39	135	135	8.20	245	5.4	2.95	0.516	0
1/24/2018 3:59:23 PM.39	59	14	26	39	134	135	8.19	246	5.4	2.95	0.517	0
1/24/2018 3:59:22 PM.89	59	14	26	40	135	135	8.20	244	5.4	2.97	0.515	0
1/24/2018 3:59:22 PM.38	59	14	27	40	135	135	8.19	245	5.3	2.95	0.513	0
1/24/2018 3:59:21 PM.88	59	14	26	40	135	135	8.26	247	5.4	2.95	0.516	0
1/24/2018 3:59:21 PM.38	58	14	26	39	135	135	8.20	250	5.3	2.96	0.516	0
1/24/2018 3:59:20 PM.88	58	13	26	39	135	135	8.14	250	5.4	2.95	0.515	0
1/24/2018 3:59:20 PM.39	59	14	26	39	135	135	8.22	250	5.4	2.95	0.517	0
1/24/2018 3:59:19 PM.88	58	13	26	39	135	135	8.20	248	5.4	2.95	0.519	0
1/24/2018 3:59:19 PM.39	59	14	26	39	134	135	8.35	248	5.4	2.96	0.516	0
1/24/2018 3:59:18 PM.89	59	14	26	40	135	135	8.25	243	5.4	2.96	0.516	0
1/24/2018 3:59:18 PM.38	59	13	26	39	135	135	8.23	243	5.4	2.95	0.516	0
1/24/2018 3:59:17 PM.88	59	14	26	39	135	135	8.12	245	5.3	2.95	0.515	0
1/24/2018 3:59:17 PM.38	59	14	26	40	135	135	8.17	245	5.4	2.97	0.515	1
1/24/2018 3:59:16 PM.89	59	13	26	39	135	135	8.19	244	5.4	2.95	0.515	0
1/24/2018 3:59:16 PM.39	59	14	27	39	135	135	8.12	246	5.4	2.96	0.517	0
1/24/2018 3:59:15 PM.89	59	14	26	39	135	135	8.19	245	5.4	2.95	0.518	0
1/24/2018 3:59:15 PM.39	59	14	26	40	135	135	8.23	241	5.4	2.95	0.520	0
1/24/2018 3:59:14 PM.88	59	13	26	39	135	135	8.17	243	5.4	2.97	0.518	0
1/24/2018 3:59:14 PM.38	59	13	26	39	135	135	8.20	242	5.4	2.97	0.516	0
1/24/2018 3:59:13 PM.88	59	14	26	40	135	135	8.22	243	5.4	2.97	0.516	0
1/24/2018 3:59:13 PM.38	59	14	26	40	135	135	8.25	245	5.4	2.96	0.517	0
1/24/2018 3:59:12 PM.89	59	14	26	40	135	135	8.16	243	5.4	2.95	0.515	0
1/24/2018 3:59:12 PM.39	59	14	26	39	135	135	8.14	245	5.3	2.97	0.516	0
1/24/2018 3:59:11 PM.89	59	14	26	40	135	135	8.14	246	5.3	2.95	0.515	0
1/24/2018 3:59:11 PM.38	59	14	26	40	135	135	8.16	245	5.4	2.97	0.517	0
1/24/2018 3:59:10 PM.89	59	14	26	39	135	135	8.14	240	5.3	2.95	0.517	0
1/24/2018 3:59:10 PM.38	59	14	26	39	135	135	8.14	242	5.3	2.95	0.516	0
1/24/2018 3:59:09 PM.89	59	14	26	40	135	135	8.13	243	5.3	2.95	0.518	0
1/24/2018 3:59:09 PM.38	59	13	26	39	134	135	8.25	240	5.4	2.96	0.515	0
1/24/2018 3:59:08 PM.88	59	13	26	39	135	135	8.19	245	5.3	2.95	0.517	0
1/24/2018 3:59:08 PM.38	59	14	26	40	135	135	8.19	241	5.3	2.96	0.516	0
1/24/2018 3:59:07 PM.89	59	14	26	39	135	135	8.19	244	5.3	2.96	0.519	0
1/24/2018 3:59:07 PM.39	59	14	26	40	135	135	8.17	245	5.4	2.96	0.516	0
1/24/2018 3:59:06 PM.89	59	14	27	39	135	135	8.14	243	5.4	2.95	0.518	0
1/24/2018 3:59:06 PM.39	59	14	27	39	135	135	8.16	240	5.4	2.96	0.516	0
1/24/2018 3:59:05 PM.89	59	14	26	39	135	135	8.13	244	5.3	2.95	0.517	0
1/24/2018 3:59:05 PM.38	59	14	26	40	135	135	8.23	245	5.3	2.95	0.517	0
1/24/2018 3:59:04 PM.89	59	14	26	40	135	135	8.14	245	5.4	2.95	0.517	0
1/24/2018 3:59:04 PM.38	59	14	26	39	135	135	8.14	248	5.3	2.96	0.516	0
1/24/2018 3:59:03 PM.88	59	13	26	39	135	135	8.26	245	5.3	2.94	0.517	0
1/24/2018 3:59:03 PM.39	59	13	26	39	135	135	8.04	241	5.4	2.95	0.516	0
1/24/2018 3:59:02 PM.88	59	13	26	39	135	135	8.23	243	5.3	2.96	0.516	0
1/24/2018 3:59:02 PM.39	59	14	27	40	135	135	8.19	243	5.3	2.97	0.516	0
1/24/2018 3:59:01 PM.88	59	14	27	40	135	135	8.22	243	5.3	2.97	0.517	0
1/24/2018 3:59:01 PM.39	59	14	26	39	135	135	8.19	243	5.4	2.97	0.517	0
1/24/2018 3:59:00 PM.88	59	14	26	39	135	135	8.12	244	5.4	2.97	0.517	0
