G.U.N.T. Geraetebau GmbH
ET850

1/24/2018 NKD 

Time	T1 (°C)	T2 (°C)	T3 (°C)	T4 (°C)	T5 (°C)	T6 (°C)	F1 (l/h)	F2 (l/h)	F3 (l/min)	p1 (bar)	p2 (bar)	P (W)
1/24/2018 4:37:37 PM.37	59	14	31	40	143	188	7.22	194	5.7	3.02	0.472	0
1/24/2018 4:37:36 PM.87	59	14	31	40	143	188	7.18	197	5.7	3.02	0.472	1
1/24/2018 4:37:36 PM.37	59	14	31	40	142	188	7.08	198	5.7	3.02	0.471	0
1/24/2018 4:37:35 PM.87	59	14	31	40	142	188	7.18	194	5.7	3.02	0.470	0
1/24/2018 4:37:35 PM.37	59	14	31	40	142	188	7.19	195	5.7	3.02	0.473	0
1/24/2018 4:37:34 PM.87	59	14	31	40	142	187	7.24	198	5.8	3.02	0.472	0
1/24/2018 4:37:34 PM.37	59	14	31	40	142	188	7.16	198	5.8	2.99	0.472	0
1/24/2018 4:37:33 PM.87	59	14	31	40	142	188	7.24	195	5.7	2.99	0.471	0
1/24/2018 4:37:33 PM.37	59	14	31	40	142	188	7.21	192	5.7	2.99	0.470	0
1/24/2018 4:37:32 PM.87	59	14	31	40	142	187	7.25	191	5.8	2.98	0.472	0
1/24/2018 4:37:32 PM.37	59	14	31	40	142	187	7.19	194	5.7	2.98	0.470	0
1/24/2018 4:37:31 PM.87	59	14	32	40	142	187	7.19	191	5.7	2.98	0.470	0
1/24/2018 4:37:31 PM.37	59	14	31	40	142	187	7.22	193	5.7	2.99	0.470	0
1/24/2018 4:37:30 PM.87	59	14	31	40	142	187	7.18	195	5.8	2.99	0.470	0
1/24/2018 4:37:30 PM.37	59	14	31	40	142	187	7.24	191	5.8	2.99	0.470	0
1/24/2018 4:37:29 PM.87	59	14	31	40	142	187	7.22	193	5.8	3.00	0.471	0
1/24/2018 4:37:29 PM.37	59	13	31	40	142	187	7.21	192	5.7	3.00	0.473	0
1/24/2018 4:37:28 PM.87	59	14	31	40	142	187	7.24	193	5.8	3.01	0.473	0
1/24/2018 4:37:28 PM.37	59	14	31	40	142	187	7.24	191	5.8	3.00	0.473	0
1/24/2018 4:37:27 PM.87	59	14	31	40	142	187	7.27	194	5.7	3.01	0.476	0
1/24/2018 4:37:27 PM.37	59	14	32	40	142	187	7.21	196	5.7	3.00	0.477	0
1/24/2018 4:37:26 PM.87	59	14	31	40	142	187	7.25	197	5.8	3.01	0.472	0
1/24/2018 4:37:26 PM.37	59	14	31	40	142	187	7.21	198	5.8	3.00	0.472	0
1/24/2018 4:37:25 PM.87	59	14	32	40	142	186	7.25	193	5.7	3.02	0.475	0
1/24/2018 4:37:25 PM.37	59	14	32	39	142	186	7.10	198	5.8	3.02	0.473	0
1/24/2018 4:37:24 PM.87	60	14	32	40	142	186	7.08	198	5.7	3.00	0.473	0
1/24/2018 4:37:24 PM.37	59	14	32	40	142	186	7.18	195	5.8	3.00	0.473	0
1/24/2018 4:37:23 PM.87	59	13	32	40	142	186	7.22	198	5.7	3.01	0.473	0
1/24/2018 4:37:23 PM.37	60	14	32	40	142	186	7.31	198	5.7	3.01	0.473	0
1/24/2018 4:37:22 PM.87	59	14	31	40	142	186	7.24	199	5.7	3.02	0.473	0
1/24/2018 4:37:22 PM.37	59	14	31	40	142	186	7.18	195	5.8	3.02	0.474	0
1/24/2018 4:37:21 PM.87	59	14	31	40	142	186	7.24	197	5.7	3.03	0.475	0
1/24/2018 4:37:21 PM.37	59	14	32	40	142	186	7.28	199	5.7	3.03	0.473	0
1/24/2018 4:37:20 PM.87	59	14	31	40	142	186	7.19	195	5.7	3.04	0.473	0
1/24/2018 4:37:20 PM.37	59	14	31	40	141	186	7.24	199	5.7	3.03	0.471	1
1/24/2018 4:37:19 PM.87	59	14	31	40	142	186	7.28	200	5.7	3.04	0.472	0
1/24/2018 4:37:19 PM.37	59	14	31	40	142	186	7.25	198	5.7	3.04	0.473	0
1/24/2018 4:37:18 PM.87	59	14	32	40	142	186	7.27	195	5.8	3.03	0.474	0
1/24/2018 4:37:18 PM.37	59	14	31	40	141	186	7.22	194	5.7	3.03	0.473	0
1/24/2018 4:37:17 PM.87	59	14	31	40	141	185	7.40	193	5.7	3.04	0.473	0
1/24/2018 4:37:17 PM.37	59	14	32	40	141	185	7.24	197	5.7	3.03	0.473	0
1/24/2018 4:37:16 PM.87	59	14	32	39	141	185	7.22	195	5.7	3.04	0.475	0
1/24/2018 4:37:16 PM.37	59	14	32	40	141	185	7.24	193	5.7	3.04	0.474	0
1/24/2018 4:37:15 PM.87	59	13	32	40	141	185	7.19	195	5.8	3.02	0.473	1
1/24/2018 4:37:15 PM.37	59	13	32	40	141	185	7.22	193	5.7	3.02	0.473	0
1/24/2018 4:37:14 PM.87	59	14	32	40	141	185	7.38	192	5.8	3.02	0.472	1
1/24/2018 4:37:14 PM.37	59	14	32	40	141	185	7.27	194	5.7	3.02	0.472	0
1/24/2018 4:37:13 PM.87	59	14	32	40	141	185	7.13	191	5.7	3.01	0.473	1
1/24/2018 4:37:13 PM.37	59	13	32	40	141	185	7.27	192	5.7	3.02	0.473	0
1/24/2018 4:37:12 PM.87	59	14	32	40	141	184	7.13	194	5.8	3.03	0.473	0
1/24/2018 4:37:12 PM.37	59	14	32	40	141	184	7.22	195	5.7	3.02	0.475	0
1/24/2018 4:37:11 PM.87	60	14	32	40	141	184	7.19	193	5.8	3.02	0.477	0
1/24/2018 4:37:11 PM.37	60	14	32	40	141	184	7.16	198	5.7	3.00	0.476	0
1/24/2018 4:37:10 PM.87	59	14	32	40	141	184	7.22	197	5.7	3.02	0.477	0
1/24/2018 4:37:10 PM.37	59	14	32	40	141	184	7.29	191	5.8	3.02	0.477	0
1/24/2018 4:37:09 PM.87	60	14	32	40	141	184	7.35	189	5.7	3.00	0.477	1
1/24/2018 4:37:09 PM.37	59	14	31	40	141	184	7.28	192	5.7	3.02	0.477	0
1/24/2018 4:37:08 PM.87	59	14	31	40	141	184	7.27	187	5.7	3.02	0.477	0
1/24/2018 4:37:08 PM.37	59	14	31	40	141	184	7.19	189	5.7	3.02	0.474	1
1/24/2018 4:37:07 PM.87	59	14	31	40	141	184	7.25	191	5.7	3.02	0.475	0
1/24/2018 4:37:07 PM.37	59	14	31	40	141	184	7.19	192	5.7	3.03	0.477	0
1/24/2018 4:37:06 PM.87	59	14	31	40	141	184	7.22	194	5.7	3.02	0.475	0
1/24/2018 4:37:06 PM.37	59	14	31	40	141	184	7.22	195	5.7	3.04	0.476	0
1/24/2018 4:37:05 PM.87	59	14	31	40	141	184	7.16	195	5.7	3.02	0.474	0
1/24/2018 4:37:05 PM.37	59	14	31	40	141	184	7.16	195	5.8	3.03	0.477	1
1/24/2018 4:37:04 PM.87	59	14	31	40	141	184	7.29	198	5.7	3.04	0.474	0
1/24/2018 4:37:04 PM.37	59	14	31	40	141	184	7.22	195	5.8	3.03	0.473	0
1/24/2018 4:37:03 PM.87	59	14	31	40	141	184	7.22	198	5.7	3.03	0.473	0
1/24/2018 4:37:03 PM.37	59	14	32	40	141	184	7.21	196	5.7	3.03	0.474	0
1/24/2018 4:37:02 PM.87	59	14	31	40	141	184	7.21	196	5.7	3.03	0.473	0
